time                   ,dt                   ,Center (x-axis) ,Center (y-axis) ,box width ,box height ,center_y_corrected ,mean_y
   7.631443300051615   ,0.0605853            ,      380.67902 ,      330.37424 ,44.96402  , 43.571777 ,0.2030914          ,   
   7.6927469           ,0.061303599970415235 ,      380.03687 ,      321.3266  ,44.87213  , 44.17276  ,9.2507314          ,   
   7.758489100029692   ,0.0657422            ,      379.74228 ,      315.58264 ,45.356934 , 44.197327 ,14.9946914         ,   
   7.819256199989468   ,0.060767099959775805 ,      379.1726  ,      313.13727 ,44.79779  , 44.351715 ,17.4400614         ,   
   7.881152899935842   ,0.0618967            ,      378.7246  ,      315.09958 ,44.937195 , 44.80591  ,15.4777514         ,   
   7.941558700054884   ,0.0604058            ,      378.48804 ,      320.92905 ,44.543274 , 44.935303 ,9.6482814          ,   
   7.993456300115213   ,0.0518976            ,      378.41595 ,      329.0334  ,44.966156 , 46.35782  ,1.5439314          ,   
   8.055892900098115   ,0.0624366            ,      378.289   ,      337.7127  ,44.944183 , 45.40567  ,-7.1353686         ,   
   8.121464200085029   ,0.0655713            ,      378.15543 ,      344.36066 ,44.538574 , 44.6481   ,-13.7833286        ,   
   8.1813738           ,0.0599096            ,      378.3866  ,      348.3404  ,44.933044 , 44.763275 ,-17.7630686        ,   
   8.244584399973974   ,0.0632106            ,      378.59775 ,      347.98114 ,44.956055 , 44.459625 ,-17.4038086        ,   
   8.3070423           ,0.062457900028675795 ,      378.9444  ,      343.09985 ,44.487457 , 44.216125 ,-12.5225186        ,   
   8.371259700041264   ,0.0642174            ,      379.52075 ,      335.99048 ,44.74756  , 44.000916 ,-5.4131486         ,   
   8.431103900074959   ,0.059844200033694506 ,      380.38013 ,      327.6354  ,45.233093 , 44.54297  ,2.9419314          ,   
   8.494981599971652   ,0.0638777            ,      380.77954 ,      320.2655  ,45.054504 , 43.95465  ,10.3118314         ,   
   8.556602800032124   ,0.0616212            ,      381.08136 ,      314.75995 ,45.541412 , 44.582916 ,15.8173814         ,   
   8.617675899993628   ,0.0610731            ,      381.6202  ,      313.38763 ,45.719482 , 44.958893 ,17.1897014         ,   
   8.669226800091565   ,0.0515509            ,      382.33356 ,      316.29343 ,45.448822 , 45.591675 ,14.2839014         ,   
   8.728127900045365   ,0.0589011            ,      382.85315 ,      322.2307  ,45.69989  , 46.039856 ,8.3466314          ,   
   8.790962300030515   ,0.0628344            ,      383.45703 ,      331.24316 ,45.33545  , 45.531586 ,-0.6658286         ,   
